of_ratio,pressure_bar,temperature_k,gamma,molecular_weight_kg_per_kmol,gas_constant_j_kg_k,density_kg_m3,cp_mass_j_kg_k,cv_mass_j_kg_k,sound_speed_m_per_s,viscosity_pa_s,thermal_conductivity_w_m_k,prandtl_number,cstar_m_per_s,nozzle_area_ratio,exit_mach,exit_pressure_bar,exit_temperature_k,exit_velocity_m_per_s,cf_sea_level,cf_vacuum,isp_sea_level_s,isp_vacuum_s,cf_ideal_1atm,isp_ideal_1atm_s,x_N2,x_CO2,x_H2O,x_CO,x_H2,x_O2,x_NO,x_OH
10.5,10.0,3237.2265145490715,1.2504087303939837,26.9361493741616,308.6730216208578,1.0007560813100338,1541.3497782786765,1232.6767566578185,1117.794271764856,9.228717443519148e-05,0.21841132745754377,0.65127948037081,1518.8564486854739,15.0,3.747503552390077,0.0630428317030978,1173.6127844191842,2522.20164356006,0.2352817582839859,1.755156758283986,36.440498623657305,271.8391255702532,1.2612945027142277,195.34961369469113,0.5458547468388156,0.08213337177906085,0.12520381951993248,0.08484907825636484,0.016475818739919303,0.05162552155501562,0.025815098202956185,0.03785928867667007
10.75,10.0,3229.528206269185,1.2504343308901058,27.022236033761725,307.689660017961,1.0063476021023618,1536.3137824549904,1228.6241224370294,1114.6959836999777,9.217664392915649e-05,0.21667663996582393,0.6535649090328589,1514.6199685806978,15.0,3.7476021039599967,0.06303787658723427,1170.706314676359,2515.152658457976,0.23526513652743342,1.7551401365274335,36.33628952754659,271.0783293420182,1.2612927662862794,194.80446534174118,0.5484639847231594,0.08283955416257593,0.12363652699426136,0.08111244430817134,0.015447272003563372,0.05476809975657289,0.02643951554460175,0.0376396873830774
11.0,10.0,3221.7357130581777,1.2504743797353537,27.104287409599692,306.7582073826614,1.0118447845658523,1531.4671285376958,1224.7089211550344,1111.6816840190738,9.206149558780945e-05,0.21501349798898237,0.6557223412270275,1510.4828232243103,15.0,3.747756282487834,0.06303012572956461,1167.7012243598267,2508.2608717293574,0.2352391359294559,1.755114135929456,36.23303311238515,270.33388110309033,1.2612900504329256,194.27194365891089,0.5509692841540897,0.0834599264741625,0.12208872892032618,0.07756391237552814,0.014503749839338392,0.05789102254348334,0.027023245858264457,0.03737815297288726
11.25,10.0,3213.871276855011,1.2505275018931368,27.182552285731486,305.8749793159644,1.017249696035182,1526.7987382030672,1220.9237588871028,1108.7479740043418,9.194240836272839e-05,0.21341733317333245,0.6577607872250637,1506.4419269911293,15.0,3.747960802677622,0.06301984626111637,1164.6122672994863,2501.5219647409226,0.23520465181382844,1.7550796518138285,36.130803986652055,269.6053772390515,1.2612864491159743,193.75166737816355,0.5533767847242173,0.0840005369422201,0.1205627908638967,0.07419261957206284,0.013636257320061929,0.060990348011857154,0.027568383412513796,0.037080531045138546
11.5,10.0,3205.953662093529,1.2505924818479754,27.25725896418905,305.03663736243226,1.0225646011027194,1522.2983649009523,1217.2617275385203,1105.891524302611,9.181996817779028e-05,0.21188392374373197,0.6596884980823967,1502.49410439909,15.0,3.7482109947713376,0.0630072746134684,1161.4521697926762,2494.931373311558,0.23516247638841126,1.7550374763884111,36.02965685014538,268.892380300413,1.2612820456020715,193.24324183095518,0.5556921164119668,0.0844669944993624,0.11906049155864715,0.07098841064355917,0.012836964644028706,0.0640627608144689,0.028076940183863443,0.03675196404605273
11.75,10.0,3197.9987471099307,1.2506682405501923,27.328617449157147,304.24014802877156,1.027791891301476,1517.956522153369,1213.7163741245972,1103.1090999249675,9.169468232054019e-05,0.21040937023204506,0.6615130349078293,1498.636150967879,15.0,3.7485027152100194,0.0629926209092547,1158.2319512689546,2488.484402771569,0.2351133135283967,1.7549883135283968,35.929630529028834,268.19443246978386,1.2612769139756463,192.74626703972382,0.5579204565146134,0.08486450203872185,0.11758313501717606,0.06794179061844337,0.012099030321623827,0.0671054883008374,0.0285508401608644,0.036396977588897525
12.0,10.0,3190.0200061872247,1.2507538162879404,27.396821346102044,303.48274761941326,1.0329340310059263,1513.7644179526937,1210.2816703332808,1100.3975768717094,9.156699136989984e-05,0.20899007076218937,0.6632413343333502,1494.8648781215113,15.0,3.748832272569877,0.06297607261171212,1154.9611880913917,2482.17631415431,0.23505779105924907,1.754932791059249,35.83075119263928,267.51106573786444,1.261271120399027,192.26034371303896,0.5600665781068163,0.08519788662986291,0.11613164175287119,0.06504388056149989,0.011416454088515713,0.07011622700378327,0.028991917621111047,0.036019556615685296
3.0,20.0,2387.6779269109124,1.294005838953182,19.25598960015444,431.7857866981064,1.9399293278093495,1900.4157575704353,1468.6299708723288,1155.0217474468395,7.029255877203449e-05,0.2860397027631038,0.4670158898918817,1524.167100043978,15.0,3.9202305694070967,0.11033031746199287,732.6027485888972,2508.119195272368,0.9683773122053636,1.7283148122053638,150.50693556845926,268.6177823499464,1.3866381432325976,215.51378274754322,0.32150139729612576,1.910880375587978e-05,0.00011417501898990486,0.3279723555672216,0.33405657478280654,6.69647370718701e-14,6.769306383860696e-09,1.2054520042200874e-07
3.25,20.0,2535.4962556417568,1.2931547426051904,19.60390073344395,424.12286877013696,1.8598389202822037,1870.8771153535854,1446.7542465834485,1179.2410271430722,7.376605230994148e-05,0.2934365254147631,0.4703137039997874,1557.0000029868966,15.0,3.916763110830024,0.11061742648331889,780.4772935297203,2562.58651101851,0.9688743213734268,1.728811821373427,153.8279964383712,274.48313247053864,1.386783495636255,220.17935858298483,0.3405263343955658,0.0016753457839089856,0.010203213844077824,0.3270212268962577,0.31665941225095007,2.610890287386965e-09,1.7985499497128674e-06,2.5795111343077207e-05
3.5,20.0,2670.3933534999182,1.2865091657020813,20.198235923799274,411.64300929649187,1.8194243923510387,1848.3963790805751,1436.7533697840834,1189.1987218426298,7.677277504563085e-05,0.29491750000023675,0.481173614336883,1577.062007749511,15.0,3.8898211403546004,0.11288613433172373,843.0487198123361,2599.098768512058,0.972790877404606,1.732728377404606,156.43991926296098,278.6497013510486,1.3879355654265244,223.20164882386007,0.3568979141720058,0.005239744393204446,0.03155785944746243,0.31470540140274067,0.2852463076159062,1.0289507598870179e-07,1.4382795888915642e-05,0.00016765945519135373
